Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
261,'097.1203,European Union (12) (excluding intra-trade),15,'0111,Wheat,5610,Import quantity,1994,1994,t,1623771.000000,E,
261,'097.1203,European Union (12) (excluding intra-trade),15,'0111,Wheat,5622,Import value,1994,1994,1000 USD,303678.000000,E,
261,'097.1203,European Union (12) (excluding intra-trade),15,'0111,Wheat,5910,Export quantity,1994,1994,t,10272924.000000,E,
261,'097.1203,European Union (12) (excluding intra-trade),15,'0111,Wheat,5922,Export value,1994,1994,1000 USD,1159111.000000,E,
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,1993,1993,t,103065.000000,A,
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,1994,1994,t,165000.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,1995,1995,t,61400.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,1996,1996,t,114955.000000,A,
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,1997,1997,t,181675.000000,A,
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,1998,1998,t,222100.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,1999,1999,t,50000.000000,I,
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2000,2000,t,199051.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2001,2001,t,252293.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2002,2002,t,140000.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2003,2003,t,268470.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2004,2004,t,369000.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2005,2005,t,270000.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2006,2006,t,77200.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2007,2007,t,87400.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2008,2008,t,67880.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2009,2009,t,75661.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2010,2010,t,52589.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2011,2011,t,135247.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2012,2012,t,27660.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2013,2013,t,54041.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2014,2014,t,28352.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2015,2015,t,60000.000000,E,
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2016,2016,t,10000.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2017,2017,t,36000.000000,E,
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2018,2018,t,27973.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2019,2019,t,41573.000000,E,
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2020,2020,t,35000.000000,E,
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2021,2021,t,60231.580000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2022,2022,t,40000.000000,E,
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2023,2023,t,40000.000000,E,
178,'232,Eritrea,15,'0111,Wheat,5610,Import quantity,2024,2024,t,40000.000000,E,
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,1993,1993,1000 USD,17459.000000,A,
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,1994,1994,1000 USD,25900.000000,I,
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,1995,1995,1000 USD,10500.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,1996,1996,1000 USD,26000.000000,I,
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,1997,1997,1000 USD,29000.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,1998,1998,1000 USD,28400.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,1999,1999,1000 USD,8500.000000,I,
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,2000,2000,1000 USD,16600.000000,I,
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,2001,2001,1000 USD,25000.000000,I,
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,2002,2002,1000 USD,20000.000000,I,
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,2003,2003,1000 USD,48400.000000,I,
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,2004,2004,1000 USD,57000.000000,I,
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,2005,2005,1000 USD,39900.000000,I,
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,2006,2006,1000 USD,16000.000000,I,
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,2007,2007,1000 USD,21850.000000,I,
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,2008,2008,1000 USD,18200.000000,I,
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,2009,2009,1000 USD,15093.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,2010,2010,1000 USD,14132.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,2011,2011,1000 USD,34158.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,2012,2012,1000 USD,9728.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,2013,2013,1000 USD,18894.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,2014,2014,1000 USD,7905.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,2015,2015,1000 USD,13620.000000,E,
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,2016,2016,1000 USD,2207.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,2017,2017,1000 USD,6876.000000,E,
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,2018,2018,1000 USD,6549.000000,X,Estimated data using trading partners database
178,'232,Eritrea,15,'0111,Wheat,5622,Import value,2019,2019,1000 USD,5210.000000,E,
